date,category,title,amount
2024-04-06,saúde,Pag*Raiadrogasilsa,73.39
2024-04-05,transporte,Uber *Uber *Trip,14.98
2024-04-05,transporte,Uber *Uber *Trip,16.94
2024-04-05,eletrônicos,Amazon,11.86
2024-04-04,saúde,Redepharma,46.00
2024-04-02,restaurante,Ifd*Ifood.Com Agencia,4.95
2024-04-02,eletrônicos,Amazon Marketplace,60.68
2024-04-02,supermercado,Mercatto Bancarios,10.68
2024-04-02,serviços,Dm*Helpmaxcom,17.45
2024-04-01,restaurante,Ifd*Ifood,2.99
2024-03-31,restaurante,Ifd*Arcos Dourados Com,23.31
2024-03-30,supermercado,Mercatto Bancarios,24.00
2024-03-27,transporte,Uber *Uber *Trip,11.95
2024-03-27,transporte,Uber *Uber *Trip,16.59
2024-03-27,restaurante,Grill Burguer Express,135.80
2024-03-26,supermercado,Supermercado Bem Mais,55.04
2024-03-26,payment,Pagamento recebido,-165.98
2024-03-26,serviços,Google Storage,389.90
2024-03-26,restaurante,Pdv*Paes e Agua,21.89
2024-03-25,reversal_upfront_national_settled,Estorno de "Paypal *Hotmart",-69.90
2024-03-25,transporte,Uber *Uber *Trip,30.34
2024-03-25,supermercado,Mercatto Bancarios,21.34
2024-03-25,supermercado,Mercatto Bancarios,11.27
2024-03-25,supermercado,Mercatto Bancarios,6.49
2024-03-24,restaurante,Ifd*Arcos Dourados Com,49.58
2024-03-24,payment,Pagamento recebido,-500.00
2024-03-24,transporte,Uber *Uber *Trip,16.99
2024-03-24,transporte,Uber *Uber *Trip,12.93
2024-03-23,restaurante,Spoleto Mangabeira Sh,43.40
2024-03-23,restaurante,Joao Pessoa Shopping M,13.90
2024-03-22,supermercado,Thayse Freitas Farias,101.59
2024-03-22,transporte,Uber *Uber *Trip,13.94
2024-03-22,serviços,Google Play Pass,9.90
2024-03-22,serviços,Google Youtubepremium,24.90
2024-03-22,transporte,Uber *Uber *Trip,14.97
2024-03-21,restaurante,Ifd*Ifood.Com Agencia,4.95
2024-03-20,outros,Mp *Melimais,17.99
2024-03-19,serviços,Google Youtube,24.90
2024-03-19,serviços,Paypal *Hotmart,69.90
2024-03-18,restaurante,Jl Goiana Comercio Ali,18.00
2024-03-18,supermercado,Miguelembalag,49.00
2024-03-18,transporte,Pag*Postocaapora,80.00
2024-03-17,supermercado,Lojas Americanas,65.96
2024-03-17,vestuário,Lojas Patriarca,99.99
2024-03-16,outros,Amazonprimebr,14.90
2024-03-16,restaurante,Burger King Mangabeira,39.90
2024-03-16,transporte,Uber *Uber *Trip,9.66
2024-03-16,transporte,Uber *Uber *Trip,18.40
2024-03-14,transporte,Uber *Uber *Trip,15.11
2024-03-14,transporte,Uber *Uber *Trip,14.95
2024-03-14,eletrônicos,Amazon,60.30
2024-03-12,supermercado,Supermercado Bem Mais,152.98
2024-03-11,supermercado,Qbompaladar,34.85
2024-03-10,saúde,Zenklub.Com.Br,75.00
2024-03-10,eletrônicos,Licelulares e Acessori,47.50
2024-03-09,restaurante,Ifd*Pizzaria Premium e,2.69
2024-03-07,eletrônicos,Nagem Informatica 10/10,259.40
2024-03-07,payment,Pagamento recebido,-1551.69
2024-03-07,saúde,Cuidar Mais Clinica I 10/10,25.00
2024-03-07,saúde,Cuidar Mais Clinica I 10/10,172.00
